review_text,recommendation,rage
"notice: the reason my hours are so low is because i've played on the b.net version of the game and only just now downloaded it on steam so i could leave this review.

i've been keeping myself posted about this game since its initial release in May of 2016 and started playing it in late 2017. back then, developers seemed to actually care about giving us new features and keeping the game alive. you could easily keep up with the lore of the game and be able to relate to the heroes. every character felt unique and had a purpose. matchmaking was at its peak, by having people at your own skill level to fight against.

in 2019, i was more than excited to hear that the sequel of the game was going to be released, with more features than ever, new heroes, new gamemodes, becoming F2P, etc. however, if i were to rewatch the trailer of Overwatch 2, i wouldn't even see half of the features that were presented in the video actually in the game right now.

it's almost a bit offensive how much sh*t they added to the game in hopes of ""making it better"", without realizing how much damage they are doing. every new season is ""buy this skin for this hero that has 100 other skins in the shop already!"" ""buy this bundle!"" ""buy the battlepass!"" buy! buy! give us your money! 

ranking up is a disaster. it's almost like they're trying to matchmake you just so that you lose games and remain in the rank you started with. call me bad, but as soon as i start winning matches i get placed with teammates that think they're above me, but they're actually just above me by one extra chromosome.

it isn't necessarily bad when new heroes are added, in fact i'm glad to have such a large array of operators to choose from, but when more and more get released, there are some that become overlooked by the new comps that come with the addition of those characters. obviously this isn't an issue for long-time players as they're used to telling what counters what, but imagine a new player figuring out that they have to master at least 20 other heroes to be able not to even properly ensure a win every now and then.

it's impressive how f*cked the game is now thanks to the amazing people at blizzard. the damage has already been done and there's nothing left of this game except for an empty husk. thank you for making ""overwatch 2"", but this isn't ""overwatch"", it's just ""2"".",FALSE,0
"This game was fun for a long while.
Then Overwatch 2 came out. Then Overwatch 1 shut down. Then Overwatch 2 became Overwatch 1 again.
Then my fav characters got nerfed, the game was overhauled again. The game got fundamentally changed over and over.
Then Blizzard get exposed for having what people call a ""Bill Cosby Suite."" This game should not be played, it's a slap in the face and the fact that they removed the first Overwatch that I purchased to replace it with free to play, microtransaction infested ""copy paste my homework but make it look different"" sequel is deplorable.",FALSE,0
"Stopped playing for a over year, try to get back into it, tell a teabagging Brigette to eat shit in match chat, get banned for 2 weeks lmfao. Mind you, I've been playing this game since launch and only had a single other violation that was because I abbreviated transcendence ""trans."" Can't make this shit up. This game is complete garbage and the comp system is even worse than Rival's EOMM matchmaking. I regret ever buying skins for this game.",FALSE,0
"Overwatch 2 is not a sequel, it is a rebrand with side effects. Overwatch 1 was removed, features were stripped away, and replaced by a shop that clearly receives more love than the actual game.

The gameplay is still good, which is almost insulting, because it shows how easily this could have been great. Instead, you get questionable balance, matchmaking that feels like gambling, and a battle pass that feels more like mandatory labor than progression.

In the end, Overwatch 2 feels less like a game and more like an experiment to see how much frustration a community can tolerate as long as the core still barely works. A textbook example of how to dismantle a classic while smiling politely.",FALSE,0
"I’ve been playing Overwatch since the OW1 Closed Beta and was there for the official Day 1 launch. I’ve put thousands of hours into the game and was top 500 during the OG ow1 competitive seasons. After nearly a decade of loyalty, I can confidently say that Blizzard has become a dogshit company that actively hates its long-term fans.

The ""Support"" is a joke. I’ve had two accounts banned for ""third-party software"" with zero evidence. I have streamed my gameplay for years and have the VODs to prove my legitimacy, yet I can’t even get a human being to review my dispute. You are trapped in a loop of braindead bot auto-replies and moderators who refuse to look at actual gameplay proof. They treat their veteran, high-skill players like disposable garbage.

The treatment of the CIS player base is shameful. Between the inability to buy skins/items and the constant threat of bans regardless of account region, there is no point in trying to support this game anymore. Even if you jump through hoops to create an EU account, you’ll likely end up banned by their broken automated systems anyway.

They don't respect your time, your skill, or your history with the game. If you are a veteran player or live in the CIS region, then be ready to be treated like shit.",FALSE,0
"All of the recent updates are full nothing-burgers. No meaningful balance changes whatsoever (especially with problem characters), the big flashy mythic skins are getting lamer and lamer, and we keep pushing 5v5 for no reason. What happened to the game I love. I wish we stayed in Overwatch 1.",FALSE,0
"Used to be fun but now it's just pain and agony. Devs are clueless as is the whole blizzard, they ruined every single game they made. GG was fun",FALSE,0
"I've enjoyed this game, in the sense of finding character matchups to work with your team and climb the ranks. I would be able to leave a positive review if the following did not happen. Whether it be power outages, overclock instability, an accidental alt + f4 or a cat tugging on my power cable, I have had suspensions from competitive play that prevent me from rejoining an in-progress match. I know it's just a game, but that's a lame thing to have happen .",FALSE,0
"Peaked Masters ELO Season 3 on battle net client. 

Game was fun, But blizzard decided to add stupid characters and promoted gameplay meta's that ultimately killed the game off. Overwatch 2 is just a cash grab of that failed structure. 

The original OW up till Ana release was pretty good, but can't recommend the current game.",FALSE,0
"unplayable on steam, keeps telling me to set a phone number w battle.net, i have that set up already, keep tryna get logged in, then im timed out for too many attempts to log in lol",FALSE,0
